"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка перехода в историю заказов","1996","Навигация в историю заказов","tests","Sun Jul 20 22:10:03 MSK 2025","passed","Sun Jul 20 22:10:05 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"Проверка доступности страницы восстановления пароля","439","Открытие страницы восстановления пароля","tests","Sun Jul 20 22:08:25 MSK 2025","passed","Sun Jul 20 22:08:25 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"Проверка отображения модального окна при клике на ингредиент","1946","Открытие деталей ингредиента","tests","Sun Jul 20 22:02:47 MSK 2025","passed","Sun Jul 20 22:02:48 MSK 2025","TestMainPage","test_main_page","",""
"Проверка перехода в раздел 'Конструктор' из других страниц","715","Переход в конструктор","tests","Sun Jul 20 22:02:14 MSK 2025","passed","Sun Jul 20 22:02:14 MSK 2025","TestMainPage","test_main_page","",""
"Проверка функционала выхода из учетной записи","946","Выход из аккаунта","tests","Sun Jul 20 22:10:32 MSK 2025","passed","Sun Jul 20 22:10:33 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"Проверка отправки формы с валидным email","1487","Отправка формы восстановления пароля","tests","Sun Jul 20 22:08:47 MSK 2025","passed","Sun Jul 20 22:08:48 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"Проверка доступности страницы восстановления пароля","568","Открытие страницы восстановления пароля","tests","Sun Jul 20 22:08:38 MSK 2025","passed","Sun Jul 20 22:08:39 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"Проверка закрытия модального окна по крестику","1163","Закрытие модального окна ингредиента","tests","Sun Jul 20 22:03:26 MSK 2025","passed","Sun Jul 20 22:03:27 MSK 2025","TestMainPage","test_main_page","",""
"Проверка перехода по клику на 'Лента заказов' в хедере","253","Переход в ленту заказов","tests","Sun Jul 20 22:02:23 MSK 2025","passed","Sun Jul 20 22:02:24 MSK 2025","TestMainPage","test_main_page","",""
"Проверка увеличения счетчика при добавлении ингредиента","3000","Счетчик ингредиентов","tests","Sun Jul 20 22:03:35 MSK 2025","passed","Sun Jul 20 22:03:38 MSK 2025","TestMainPage","test_main_page","",""
"Проверка увеличения счетчика при добавлении ингредиента","301","Счетчик ингредиентов","tests","Sun Jul 20 22:03:52 MSK 2025","passed","Sun Jul 20 22:03:52 MSK 2025","TestMainPage","test_main_page","",""
"При создании нового заказа счетчик 'Выполнено за сегодня' должен увеличиваться","16411","Увеличение счетчика 'Сегодня заказов'","tests","Sun Jul 20 22:07:15 MSK 2025","passed","Sun Jul 20 22:07:32 MSK 2025","TestOrderFeed","test_order_feed","",""
"Проверка отправки формы с валидным email","1507","Отправка формы восстановления пароля","tests","Sun Jul 20 22:09:01 MSK 2025","passed","Sun Jul 20 22:09:03 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"Проверка перехода в личный кабинет","249","Доступ к личному кабинету","tests","Sun Jul 20 22:09:39 MSK 2025","passed","Sun Jul 20 22:09:39 MSK 2025","TestPasswordRecovery","test_password_recovery","",""
"При клике на заказ в ленте должно открываться окно с деталями","3112","Отображение деталей заказа при клике","tests","Sun Jul 20 22:04:29 MSK 2025","passed","Sun Jul 20 22:04:32 MSK 2025","TestOrderFeed","test_order_feed","",""
"При клике на заказ в ленте должно открываться окно с деталями","3314","Отображение деталей заказа при клике","tests","Sun Jul 20 22:04:48 MSK 2025","passed","Sun Jul 20 22:04:52 MSK 2025","TestOrderFeed","test_order_feed","",""
"При создании нового заказа счетчик 'Выполнено за сегодня' должен увеличиваться","13658","Увеличение счетчика 'Сегодня заказов'","tests","Sun Jul 20 22:06:45 MSK 2025","passed","Sun Jul 20 22:06:58 MSK 2025","TestOrderFeed","test_order_feed","",""
"Заказ должен отображаться одновременно в ленте и истории заказов","16223","Совпадение заказов в ленте и истории","tests","Sun Jul 20 22:05:34 MSK 2025","passed","Sun Jul 20 22:05:50 MSK 2025","TestOrderFeed","test_order_feed","",""
